id	name	type
0	/person/8087	person
1	/person/1394	person
2	/person/8956	person
3	/person/5169	person
4	/person/3816	person
5	/person/6799	person
6	/person/4476	person
7	/person/325	person
8	/person/6175	person
9	/person/8405	person
10	/person/7065	person
11	/person/107	person
12	/person/6268	person
13	/person/2242	person
14	/person/1572	person
15	/person/6676	person
16	/person/9899	person
17	/person/787	person
18	/person/6659	person
19	/person/2281	person
20	/person/8296	person
21	/city/629	city
22	/person/2317	person
23	/person/4313	person
24	/person/8021	person
25	/city/1716	city
26	/person/4827	person
27	/person/1328	person
28	/person/4442	person
29	/person/9824	person
30	/person/8991	person
31	/person/2581	person
32	/person/9126	person
33	/person/3649	person
34	/person/4188	person
35	/city/1197	city
36	/city/738	city
37	/person/8474	person
38	/person/9613	person
39	/person/636	person
40	/person/3840	person
41	/person/8038	person
42	/person/5699	person
43	/person/4427	person
44	/person/5592	person
45	/person/172	person
46	/person/8638	person
47	/person/3710	person
48	/city/1710	city
49	/person/5099	person
50	/person/7345	person
51	/city/1416	city
52	/person/3856	person
53	/city/1646	city
54	/person/6765	person
55	/person/3125	person
56	/person/5825	person
57	/person/1149	person
58	/person/5778	person
59	/city/874	city
60	/person/3166	person
61	/person/1663	person
62	/person/2151	person
63	/person/4785	person
64	/person/318	person
65	/person/8858	person
66	/person/1624	person
67	/person/3487	person
68	/city/309	city
69	/person/9206	person
70	/person/396	person
71	/person/7957	person
72	/person/9115	person
73	/person/1309	person
74	/city/398	city
75	/person/8673	person
76	/person/4491	person
77	/person/5	person
78	/city/1382	city
79	/city/558	city
80	/person/9183	person
81	/city/261	city
82	/person/9095	person
83	/person/273	person
84	/person/7688	person
85	/person/2293	person
86	/person/8590	person
87	/person/9700	person
88	/person/5883	person
89	/person/810	person
90	/person/9379	person
91	/person/8864	person
92	/person/899	person
93	/person/4522	person
94	/person/585	person
95	/person/3727	person
96	/person/4876	person
97	/person/5720	person
98	/person/7333	person
99	/city/1672	city
100	/person/2290	person
101	/person/9614	person
102	/person/8012	person
103	/person/4464	person
104	/person/9052	person
105	/person/9388	person
106	/person/8923	person
107	/person/7516	person
108	/city/273	city
109	/person/7572	person
110	/city/585	city
111	/person/5933	person
112	/person/2491	person
113	/city/1051	city
114	/person/434	person
115	/person/3045	person
116	/person/6160	person
117	/person/3115	person
118	/person/834	person
119	/person/4601	person
120	/person/9209	person
121	/person/5166	person
122	/person/4199	person
123	/person/7750	person
124	/city/1990	city
125	/person/8262	person
126	/city/97	city
127	/person/1869	person
128	/person/874	person
129	/person/5314	person
130	/person/5359	person
131	/person/6479	person
132	/person/642	person
133	/person/940	person
134	/person/968	person
135	/person/1209	person
136	/person/5617	person
137	/person/336	person
138	/person/1535	person
139	/person/8567	person
140	/city/522	city
141	/city/552	city
142	/person/6949	person
143	/city/214	city
144	/person/2031	person
145	/person/5033	person
146	/person/6832	person
147	/person/7381	person
148	/person/4898	person
149	/person/422	person
150	/person/4249	person
151	/person/7034	person
152	/person/7384	person
153	/city/1256	city
154	/person/1930	person
155	/person/7114	person
156	/person/7676	person
157	/person/7451	person
158	/person/9073	person
159	/city/1798	city
160	/city/222	city
161	/person/3893	person
162	/person/389	person
163	/person/6966	person
164	/person/9177	person
165	/city/1211	city
166	/city/1767	city
167	/person/3526	person
168	/person/3361	person
169	/person/127	person
170	/city/484	city
171	/person/9743	person
172	/person/7544	person
173	/person/5668	person
174	/city/1654	city
175	/person/5522	person
176	/person/1502	person
177	/person/8416	person
178	/city/1581	city
179	/person/522	person
180	/person/3944	person
181	/person/4091	person
182	/person/1164	person
183	/person/7983	person
184	/person/9128	person
185	/person/7072	person
186	/person/7257	person
187	/city/677	city
188	/city/505	city
189	/city/526	city
190	/person/9721	person
191	/person/7283	person
192	/person/5948	person
193	/person/5570	person
194	/person/715	person
195	/city/609	city
196	/city/1451	city
197	/person/3311	person
198	/person/8619	person
199	/person/2609	person
200	/person/6961	person
201	/person/4402	person
202	/person/7110	person
203	/city/1257	city
204	/person/1106	person
205	/person/8086	person
206	/person/9421	person
207	/city/1191	city
208	/person/1878	person
209	/person/3163	person
210	/person/1441	person
211	/person/4291	person
212	/person/6012	person
213	/person/54	person
214	/person/8179	person
215	/person/3635	person
216	/city/1761	city
217	/person/8318	person
218	/person/2825	person
219	/company/68	company
220	/city/1363	city
221	/person/1443	person
222	/person/3187	person
223	/person/1728	person
224	/person/2839	person
225	/person/9124	person
226	/city/1802	city
227	/person/6491	person
228	/person/7677	person
229	/person/8339	person
230	/person/4803	person
231	/person/7136	person
232	/person/1752	person
233	/person/1889	person
234	/city/1420	city
235	/person/841	person
236	/person/9400	person
237	/person/1810	person
238	/person/1670	person
239	/person/3910	person
240	/person/9306	person
241	/person/2834	person
242	/person/7789	person
243	/person/2402	person
244	/person/1711	person
245	/person/9564	person
246	/person/3449	person
247	/person/7819	person
248	/person/3100	person
249	/person/3925	person
250	/person/2036	person
251	/person/2860	person
252	/person/8453	person
253	/person/4405	person
254	/person/8327	person
255	/person/2125	person
256	/city/1723	city
257	/city/383	city
258	/person/9398	person
259	/person/8574	person
260	/person/1517	person
261	/person/42	person
262	/person/4506	person
263	/city/30	city
264	/person/7129	person
265	/person/9096	person
266	/city/1013	city
267	/person/3718	person
268	/person/5353	person
269	/city/404	city
270	/person/403	person
271	/person/6143	person
272	/person/2455	person
273	/person/5063	person
274	/city/172	city
275	/person/635	person
276	/city/1221	city
277	/person/7579	person
278	/person/3452	person
279	/person/6072	person
280	/person/9816	person
281	/person/3346	person
282	/person/6505	person
283	/person/1319	person
284	/person/3236	person
285	/person/1496	person
286	/person/1062	person
287	/person/4918	person
288	/person/7945	person
289	/person/6965	person
290	/person/9952	person
291	/city/759	city
292	/person/4836	person
293	/person/4472	person
294	/city/1560	city
295	/person/2701	person
296	/person/6795	person
297	/person/9462	person
298	/person/8028	person
299	/person/6706	person
300	/city/869	city
301	/person/40	person
302	/person/8261	person
303	/person/8484	person
304	/person/8361	person
305	/city/1379	city
306	/city/281	city
307	/person/4040	person
308	/person/219	person
309	/person/4317	person
310	/person/3887	person
311	/person/7577	person
312	/person/69	person
313	/person/4054	person
314	/person/1270	person
315	/person/9483	person
316	/person/6530	person
317	/person/3817	person
318	/person/717	person
319	/person/8217	person
320	/person/6305	person
321	/person/7460	person
322	/person/5032	person
323	/city/220	city
324	/city/478	city
325	/person/8576	person
326	/city/1436	city
327	/person/359	person
328	/person/1184	person
329	/city/1925	city
330	/person/7027	person
331	/person/5804	person
332	/city/1321	city
333	/person/7521	person
334	/city/581	city
335	/city/1527	city
336	/company/14	company
337	/city/355	city
338	/person/7719	person
339	/person/3384	person
340	/person/4062	person
341	/person/6007	person
342	/person/1733	person
343	/city/296	city
344	/person/7322	person
345	/person/8983	person
346	/person/8406	person
347	/city/1150	city
348	/person/3378	person
349	/person/5769	person
350	/person/1703	person
351	/city/648	city
352	/person/7708	person
353	/city/1801	city
354	/person/2734	person
355	/person/7775	person
356	/city/1526	city
357	/person/3693	person
358	/person/9117	person
359	/person/3716	person
360	/person/9395	person
361	/city/1000	city
362	/person/8526	person
363	/person/7605	person
364	/city/1156	city
365	/person/1260	person
366	/city/1343	city
367	/city/854	city
368	/person/4571	person
369	/person/624	person
370	/person/3048	person
371	/person/8103	person
372	/person/8698	person
373	/person/5309	person
374	/person/4529	person
375	/person/4718	person
376	/person/3298	person
377	/person/9586	person
378	/person/848	person
379	/person/3681	person
380	/person/9185	person
381	/city/1829	city
382	/person/1797	person
383	/person/7807	person
384	/person/272	person
385	/person/1045	person
386	/person/436	person
387	/person/7388	person
388	/person/2461	person
389	/person/6936	person
390	/person/6985	person
391	/city/1208	city
392	/person/1252	person
393	/person/8746	person
394	/person/4864	person
395	/person/5610	person
396	/person/6870	person
397	/person/3501	person
398	/person/329	person
399	/person/4797	person
400	/person/8187	person
401	/person/388	person
402	/person/9580	person
403	/person/7314	person
404	/person/414	person
405	/person/8000	person
406	/city/1695	city
407	/person/4488	person
408	/person/6493	person
409	/person/3218	person
410	/person/4496	person
411	/person/6731	person
412	/person/9493	person
413	/person/2336	person
414	/person/1355	person
415	/person/9832	person
416	/person/7831	person
417	/person/8873	person
418	/person/5249	person
419	/person/9737	person
420	/person/6685	person
421	/company/54	company
422	/city/1269	city
423	/person/3884	person
424	/city/732	city
425	/person/4203	person
426	/person/2349	person
427	/person/229	person
428	/person/9875	person
429	/person/881	person
430	/person/2172	person
431	/person/9214	person
432	/person/2620	person
433	/person/5435	person
434	/person/3002	person
435	/person/3866	person
436	/person/7392	person
437	/person/5839	person
438	/person/6314	person
439	/person/5770	person
440	/person/210	person
441	/person/3634	person
442	/person/6628	person
443	/person/2913	person
444	/person/5003	person
445	/person/4845	person
446	/person/7650	person
447	/person/5712	person
448	/person/5062	person
449	/person/5795	person
450	/person/2426	person
451	/person/4588	person
452	/person/616	person
453	/person/6867	person
454	/person/658	person
455	/person/7920	person
456	/person/9148	person
457	/company/15	company
458	/person/4833	person
459	/person/216	person
460	/city/1093	city
461	/person/4434	person
462	/person/9556	person
463	/person/1568	person
464	/person/8671	person
465	/city/256	city
466	/person/1378	person
467	/person/3920	person
468	/person/3502	person
469	/person/6888	person
470	/city/1428	city
471	/person/1824	person
472	/person/8029	person
473	/person/3800	person
474	/person/4676	person
475	/person/9780	person
476	/person/3703	person
477	/person/1554	person
478	/person/9469	person
479	/person/8661	person
480	/person/7949	person
481	/person/4688	person
482	/person/705	person
483	/person/5073	person
484	/person/609	person
485	/person/4388	person
486	/person/9705	person
487	/city/1226	city
488	/person/7899	person
489	/city/1713	city
490	/person/7437	person
491	/city/1682	city
492	/person/8207	person
493	/person/3555	person
494	/person/9247	person
495	/person/8381	person
496	/person/4387	person
497	/person/831	person
498	/person/4530	person
499	/person/8221	person
500	/person/5589	person
501	/city/1437	city
502	/city/992	city
503	/person/8266	person
504	/city/700	city
505	/person/4784	person
506	/city/156	city
507	/person/5174	person
508	/person/4729	person
509	/person/2497	person
510	/person/5372	person
511	/person/4124	person
512	/person/8154	person
513	/person/5218	person
514	/person/6959	person
515	/person/7901	person
516	/person/8118	person
517	/person/6813	person
518	/person/9173	person
519	/person/5355	person
520	/person/6142	person
521	/person/3565	person
522	/person/432	person
523	/person/3934	person
524	/person/6064	person
525	/person/9825	person
526	/person/9380	person
527	/city/1327	city
528	/person/3615	person
529	/person/3811	person
530	/city/638	city
531	/person/4022	person
532	/person/2549	person
533	/person/1125	person
534	/person/9498	person
535	/person/2255	person
536	/city/1338	city
537	/person/1372	person
538	/person/5075	person
539	/person/3419	person
540	/person/5816	person
541	/company/62	company
542	/person/5833	person
543	/person/2542	person
544	/person/3771	person
545	/person/2684	person
546	/person/5338	person
547	/person/4861	person
548	/person/2376	person
549	/city/642	city
550	/person/4056	person
551	/city/1174	city
552	/person/3381	person
553	/city/1240	city
554	/person/1988	person
555	/person/8928	person
556	/city/1851	city
557	/person/2842	person
558	/person/2180	person
559	/city/1941	city
560	/person/9443	person
561	/company/58	company
562	/city/254	city
563	/person/3345	person
564	/person/1232	person
565	/person/9246	person
566	/person/3247	person
567	/person/6066	person
568	/person/7704	person
569	/person/505	person
570	/person/7366	person
571	/person/3238	person
572	/person/8961	person
573	/person/885	person
574	/person/545	person
575	/person/3554	person
576	/person/9647	person
577	/person/8037	person
578	/city/1827	city
579	/person/1362	person
580	/person/728	person
581	/person/2950	person
582	/person/6184	person
583	/person/4071	person
584	/person/4749	person
585	/person/8238	person
586	/person/9513	person
587	/person/9895	person
588	/person/9011	person
589	/person/1086	person
