id	name	type
0	/person/8087	person
1	/person/1394	person
2	/person/8956	person
3	/city/4328	city
4	/city/3172	city
5	/person/5169	person
6	/person/3816	person
7	/person/6799	person
8	/person/325	person
9	/person/4476	person
10	/person/6175	person
11	/city/7038	city
12	/city/5658	city
13	/city/7328	city
14	/city/2700	city
15	/city/3721	city
16	/person/8405	person
17	/city/4046	city
18	/person/7065	person
19	/person/107	person
20	/city/3466	city
21	/person/6268	person
22	/person/2242	person
23	/person/1572	person
24	/person/6676	person
25	/person/9899	person
26	/person/787	person
27	/city/6174	city
28	/person/6659	person
29	/person/2281	person
30	/person/8296	person
31	/city/2392	city
32	/city/629	city
33	/person/2317	person
34	/city/7304	city
35	/city/2910	city
36	/person/4313	person
37	/person/8021	person
38	/city/1716	city
39	/person/4827	person
40	/person/1328	person
41	/city/4999	city
42	/person/4442	person
43	/person/9824	person
44	/person/8991	person
45	/person/2581	person
46	/person/9126	person
47	/person/3649	person
48	/person/4188	person
49	/city/738	city
50	/city/1197	city
51	/city/6860	city
52	/person/8474	person
53	/person/9613	person
54	/person/636	person
55	/city/2962	city
56	/person/172	person
57	/person/8038	person
58	/person/5592	person
59	/person/4427	person
60	/person/8638	person
61	/person/5699	person
62	/person/3840	person
63	/person/3710	person
64	/city/1710	city
65	/city/5034	city
66	/person/5099	person
67	/person/7345	person
68	/city/1416	city
69	/city/2660	city
70	/city/7036	city
71	/city/7942	city
72	/person/3856	person
73	/city/1646	city
74	/person/6765	person
75	/person/3125	person
76	/person/5825	person
77	/person/1149	person
78	/person/5778	person
79	/city/3125	city
80	/city/874	city
81	/person/3166	person
82	/person/1663	person
83	/city/4789	city
84	/person/4785	person
85	/person/2151	person
86	/city/5616	city
87	/person/8858	person
88	/person/318	person
89	/city/6795	city
90	/city/7205	city
91	/person/1624	person
92	/city/5313	city
93	/person/3487	person
94	/city/309	city
95	/city/5811	city
96	/city/7018	city
97	/person/9206	person
98	/city/2878	city
99	/person/396	person
100	/city/3584	city
101	/person/7957	person
102	/city/3113	city
103	/person/9115	person
104	/person/1309	person
105	/city/398	city
106	/person/8673	person
107	/person/4491	person
108	/city/5206	city
109	/person/5	person
110	/city/7535	city
111	/city/1382	city
112	/city/2781	city
113	/city/558	city
114	/person/9183	person
115	/city/261	city
116	/person/9095	person
117	/person/273	person
118	/city/2646	city
119	/person/7688	person
120	/person/2293	person
121	/person/8590	person
122	/person/9700	person
123	/person/5883	person
124	/person/810	person
125	/city/6544	city
126	/city/5361	city
127	/city/2613	city
128	/person/9379	person
129	/person/899	person
130	/person/8864	person
131	/city/5270	city
132	/city/4470	city
133	/person/4522	person
134	/city/5065	city
135	/person/585	person
136	/person/3727	person
137	/city/5805	city
138	/person/4876	person
139	/city/2507	city
140	/person/5720	person
141	/person/7333	person
142	/city/1672	city
143	/person/2290	person
144	/city/2433	city
145	/person/9614	person
146	/person/8012	person
147	/person/4464	person
148	/person/9052	person
149	/person/9388	person
150	/person/8923	person
151	/person/7516	person
152	/city/273	city
153	/person/7572	person
154	/city/585	city
155	/city/6121	city
156	/person/5933	person
157	/person/2491	person
158	/city/1051	city
159	/person/434	person
160	/person/3045	person
161	/person/6160	person
162	/person/3115	person
163	/person/834	person
164	/city/3184	city
165	/city/3900	city
166	/city/7962	city
167	/person/4601	person
168	/person/9209	person
169	/person/5166	person
170	/person/4199	person
171	/person/7750	person
172	/city/7013	city
173	/city/2759	city
174	/city/1990	city
175	/person/8262	person
176	/city/2316	city
177	/city/6704	city
178	/city/2282	city
179	/city/97	city
180	/person/1869	person
181	/city/2582	city
182	/person/874	person
183	/city/5959	city
184	/city/5442	city
185	/person/5314	person
186	/person/5359	person
187	/city/7174	city
188	/person/6479	person
189	/person/642	person
190	/city/6838	city
191	/city/5027	city
192	/person/940	person
193	/person/968	person
194	/person/1209	person
195	/city/4928	city
196	/person/5617	person
197	/city/6828	city
198	/person/336	person
199	/city/7320	city
200	/person/1535	person
201	/person/8567	person
202	/city/6035	city
203	/city/522	city
204	/city/552	city
205	/city/5844	city
206	/person/6949	person
207	/city/214	city
208	/city/2685	city
209	/city/4034	city
210	/person/2031	person
211	/city/2489	city
212	/person/5033	person
213	/city/3300	city
214	/person/6832	person
215	/person/7381	person
216	/person/4898	person
217	/city/7561	city
218	/person/422	person
219	/person/4249	person
220	/person/7034	person
221	/person/7384	person
222	/city/1256	city
223	/person/1930	person
224	/city/2244	city
225	/person/7676	person
226	/person/7451	person
227	/person/7114	person
228	/person/9073	person
229	/city/1798	city
230	/city/4892	city
231	/city/6095	city
232	/city/2875	city
233	/city/222	city
234	/city/5667	city
235	/person/6966	person
236	/person/389	person
237	/person/3893	person
238	/person/9177	person
239	/city/1211	city
240	/city/6779	city
241	/city/1767	city
242	/person/3526	person
243	/person/3361	person
244	/person/127	person
245	/city/7934	city
246	/city/484	city
247	/city/2115	city
248	/person/9743	person
249	/city/2429	city
250	/person/7544	person
251	/city/3341	city
252	/city/7568	city
253	/city/5823	city
254	/person/5668	person
255	/city/4722	city
256	/person/5522	person
257	/city/1654	city
258	/city/4932	city
259	/city/2662	city
260	/city/4412	city
261	/city/3713	city
262	/city/4028	city
263	/city/6288	city
264	/city/6374	city
265	/person/1502	person
266	/person/8416	person
267	/city/1581	city
268	/city/4964	city
269	/city/3775	city
270	/person/522	person
271	/person/3944	person
272	/person/4091	person
273	/city/3084	city
274	/person/1164	person
275	/person/7983	person
276	/person/9128	person
277	/person/7072	person
278	/person/7257	person
279	/city/7241	city
280	/city/6136	city
281	/city/526	city
282	/person/9721	person
283	/person/7283	person
284	/city/3985	city
285	/city/677	city
286	/city/7716	city
287	/city/2268	city
288	/person/5948	person
289	/person/5570	person
290	/city/4125	city
291	/city/2473	city
292	/city/2102	city
293	/person/715	person
294	/city/609	city
295	/city/4475	city
296	/city/1451	city
297	/person/3311	person
298	/city/7146	city
299	/person/8619	person
300	/city/2608	city
301	/person/2609	person
302	/person/6961	person
303	/person/4402	person
304	/person/7110	person
305	/city/4249	city
306	/city/1257	city
307	/city/7739	city
308	/person/1106	person
309	/city/4532	city
310	/city/2892	city
311	/person/8086	person
312	/person/9421	person
313	/city/6086	city
314	/person/1878	person
315	/person/3163	person
316	/person/1441	person
317	/city/5913	city
318	/person/4291	person
319	/person/6012	person
320	/city/1191	city
321	/city/4752	city
322	/city/2619	city
323	/city/4674	city
324	/person/54	person
325	/person/8179	person
326	/person/3635	person
327	/city/1761	city
328	/person/8318	person
329	/city/2965	city
330	/city/5427	city
331	/person/2825	person
332	/company/68	company
333	/city/1363	city
334	/person/1443	person
335	/person/3187	person
336	/person/1728	person
337	/city/7349	city
338	/person/2839	person
339	/person/9124	person
340	/city/1802	city
341	/city/5013	city
342	/person/7136	person
343	/person/7677	person
344	/person/8339	person
345	/person/4803	person
346	/person/6491	person
347	/person/1752	person
348	/person/1889	person
349	/city/1420	city
350	/city/2993	city
351	/person/841	person
352	/person/9400	person
353	/city/3021	city
354	/person/1670	person
355	/person/1810	person
356	/city/3394	city
357	/person/3910	person
358	/person/9306	person
359	/person/2834	person
360	/city/5036	city
361	/city/5841	city
362	/city/6067	city
363	/city/7121	city
364	/person/1711	person
365	/person/9564	person
366	/person/3449	person
367	/person/7789	person
368	/person/2402	person
369	/person/7819	person
370	/city/5944	city
371	/person/3100	person
372	/city/2506	city
373	/person/3925	person
374	/person/2036	person
375	/person/2860	person
376	/city/6027	city
377	/city/2657	city
378	/city/5880	city
379	/person/8453	person
380	/person/4405	person
381	/person/2125	person
382	/person/8327	person
383	/city/1723	city
384	/city/383	city
385	/person/9398	person
386	/person/8574	person
387	/person/1517	person
388	/person/4506	person
389	/person/42	person
390	/city/30	city
391	/person/9096	person
392	/person/7129	person
393	/city/4221	city
394	/city/6602	city
395	/city/1013	city
396	/person/3718	person
397	/person/5353	person
398	/city/7440	city
399	/city/404	city
400	/city/6918	city
401	/person/403	person
402	/person/6143	person
403	/person/2455	person
404	/city/5068	city
405	/city/7319	city
406	/person/5063	person
407	/city/172	city
408	/person/635	person
409	/city/1221	city
410	/person/7579	person
411	/person/3452	person
412	/person/6072	person
413	/person/9816	person
414	/person/3346	person
415	/city/2298	city
416	/person/6505	person
417	/person/3236	person
418	/person/1319	person
419	/person/1496	person
420	/city/7708	city
421	/person/1062	person
422	/person/7945	person
423	/person/4918	person
424	/person/6965	person
425	/city/7079	city
426	/person/9952	person
427	/city/5910	city
428	/city/759	city
429	/city/3451	city
430	/city/5327	city
431	/person/4836	person
432	/person/4472	person
433	/city/1560	city
434	/person/2701	person
435	/person/6795	person
436	/city/7099	city
437	/city/6920	city
438	/person/9462	person
439	/person/8028	person
440	/person/6706	person
441	/city/2510	city
442	/city/869	city
443	/person/40	person
444	/city/3187	city
445	/city/4287	city
446	/person/8261	person
447	/person/8484	person
448	/city/7493	city
449	/person/8361	person
450	/city/1379	city
451	/city/281	city
452	/person/4040	person
453	/city/4265	city
454	/person/219	person
455	/person/4317	person
456	/person/3887	person
457	/person/7577	person
458	/city/3148	city
459	/person/69	person
460	/person/4054	person
461	/person/9483	person
462	/person/1270	person
463	/city/5714	city
464	/person/3817	person
465	/person/717	person
466	/person/6530	person
467	/person/8217	person
468	/person/6305	person
469	/person/7460	person
470	/person/5032	person
471	/city/220	city
472	/city/478	city
473	/person/8576	person
474	/city/1436	city
475	/city/6970	city
476	/city/4091	city
477	/person/359	person
478	/city/4199	city
479	/person/1184	person
480	/city/1925	city
481	/city/7387	city
482	/person/7027	person
483	/person/5804	person
484	/city/4375	city
485	/person/7521	person
486	/city/1321	city
487	/city/3838	city
488	/city/2606	city
489	/city/2251	city
490	/city/581	city
491	/city/4361	city
492	/city/1527	city
493	/company/14	company
494	/city/355	city
495	/person/7719	person
496	/person/3384	person
497	/person/4062	person
498	/person/6007	person
499	/person/1733	person
500	/city/296	city
501	/person/7322	person
502	/city/3536	city
503	/person/8983	person
504	/city/5417	city
505	/city/7064	city
506	/city/2472	city
507	/person/8406	person
508	/city/1150	city
509	/person/3378	person
510	/person/5769	person
511	/person/1703	person
512	/city/648	city
513	/city/3130	city
514	/city/5252	city
515	/city/3258	city
516	/person/7708	person
517	/city/1801	city
518	/person/2734	person
519	/city/2633	city
520	/person/7775	person
521	/city/1526	city
522	/person/3693	person
523	/person/9117	person
524	/person/3716	person
525	/person/9395	person
526	/city/5020	city
527	/city/1000	city
528	/person/8526	person
529	/person/7605	person
530	/city/1156	city
531	/city/6935	city
532	/person/1260	person
533	/city/1343	city
534	/city/854	city
535	/person/4571	person
536	/person/624	person
537	/city/4592	city
538	/person/3048	person
539	/person/8103	person
540	/person/8698	person
541	/city/5288	city
542	/city/6729	city
543	/person/5309	person
544	/person/4529	person
545	/person/3298	person
546	/person/848	person
547	/person/9586	person
548	/person/4718	person
549	/city/7989	city
550	/person/3681	person
551	/person/9185	person
552	/city/7355	city
553	/city/1829	city
554	/city/5579	city
555	/city/2690	city
556	/person/1797	person
557	/city/6529	city
558	/city/2019	city
559	/person/7807	person
560	/person/272	person
561	/person/1045	person
562	/city/3570	city
563	/person/436	person
564	/person/7388	person
565	/person/2461	person
566	/person/6936	person
567	/person/6985	person
568	/city/1208	city
569	/city/7330	city
570	/city/3852	city
571	/person/1252	person
572	/person/8746	person
573	/city/2600	city
574	/city/4052	city
575	/city/6192	city
576	/person/4864	person
577	/person/5610	person
578	/city/5755	city
579	/person/6870	person
580	/city/3237	city
581	/person/3501	person
582	/person/329	person
583	/person/4797	person
584	/person/8187	person
585	/city/7058	city
586	/person/388	person
